Name,Win %,patch
AatroxAatrox,56.35%,13.6
AhriAhri,53.24%,13.6
AkaliAkali,46.37%,13.6
AkaliAkali,42.86%,13.6
AkshanAkshan,57.14%,13.6
AkshanAkshan,45.83%,13.6
AlistarAlistar,52.17%,13.6
AmumuAmumu,68.42%,13.6
AmumuAmumu,53.06%,13.6
AniviaAnivia,48.31%,13.6
AnnieAnnie,54.90%,13.6
AnnieAnnie,51.80%,13.6
ApheliosAphelios,54.27%,13.6
AsheAshe,56.79%,13.6
AsheAshe,46.43%,13.6
Aurelion SolAurelion Sol,48.26%,13.6
AzirAzir,34.21%,13.6
BardBard,51.38%,13.6
Bel'VethBel'Veth,56.52%,13.6
BlitzcrankBlitzcrank,55.09%,13.6
BrandBrand,55.42%,13.6
BraumBraum,50.00%,13.6
CaitlynCaitlyn,49.85%,13.6
CamilleCamille,50.46%,13.6
CassiopeiaCassiopeia,59.51%,13.6
CassiopeiaCassiopeia,70.83%,13.6
Cho'GathCho'Gath,56.74%,13.6
Cho'GathCho'Gath,56.82%,13.6
Cho'GathCho'Gath,46.67%,13.6
CorkiCorki,50.00%,13.6
DariusDarius,50.66%,13.6
DianaDiana,53.22%,13.6
DianaDiana,45.10%,13.6
Dr. MundoDr. Mundo,56.25%,13.6
Dr. MundoDr. Mundo,43.24%,13.6
DravenDraven,47.54%,13.6
EkkoEkko,53.79%,13.6
EkkoEkko,45.00%,13.6
EliseElise,70.00%,13.6
EliseElise,54.25%,13.6
EvelynnEvelynn,49.60%,13.6
EzrealEzreal,51.84%,13.6
FiddlesticksFiddlesticks,60.00%,13.6
FioraFiora,51.48%,13.6
FizzFizz,50.83%,13.6
GalioGalio,69.57%,13.6
GalioGalio,52.14%,13.6
GangplankGangplank,47.85%,13.6
GangplankGangplank,33.33%,13.6
GarenGaren,55.22%,13.6
GnarGnar,47.18%,13.6
GragasGragas,52.31%,13.6
GragasGragas,55.81%,13.6
GragasGragas,50.47%,13.6
GravesGraves,50.53%,13.6
GwenGwen,55.17%,13.6
HecarimHecarim,50.68%,13.6
HeimerdingerHeimerdinger,55.56%,13.6
HeimerdingerHeimerdinger,56.90%,13.6
HeimerdingerHeimerdinger,46.75%,13.6
IllaoiIllaoi,48.28%,13.6
IreliaIrelia,49.74%,13.6
IreliaIrelia,51.98%,13.6
IvernIvern,54.84%,13.6
JannaJanna,48.65%,13.6
Jarvan IVJarvan IV,58.96%,13.6
JaxJax,51.76%,13.6
JayceJayce,52.15%,13.6
JayceJayce,54.01%,13.6
JhinJhin,48.08%,13.6
JinxJinx,49.89%,13.6
K'SanteK'Sante,44.65%,13.6
K'SanteK'Sante,42.31%,13.6
Kai'SaKai'Sa,51.64%,13.6
KalistaKalista,58.49%,13.6
KarmaKarma,53.36%,13.6
KarmaKarma,42.42%,13.6
KarthusKarthus,55.91%,13.6
KarthusKarthus,51.20%,13.6
KarthusKarthus,42.86%,13.6
KassadinKassadin,57.41%,13.6
KatarinaKatarina,46.98%,13.6
KayleKayle,56.76%,13.6
KayleKayle,50.00%,13.6
KaynKayn,47.72%,13.6
KennenKennen,71.88%,13.6
KennenKennen,52.56%,13.6
Kha'ZixKha'Zix,56.06%,13.6
KindredKindred,58.82%,13.6
KledKled,50.60%,13.6
Kog'MawKog'Maw,48.44%,13.6
LeBlancLeBlanc,50.75%,13.6
Lee SinLee Sin,49.19%,13.6
LeonaLeona,54.79%,13.6
