,Name,Win %,patch
0,AatroxAatrox,49.74%,12.4
1,AhriAhri,52.75%,12.4
2,AkaliAkali,53.64%,12.4
3,AkaliAkali,50.22%,12.4
4,AkshanAkshan,60.22%,12.4
5,AkshanAkshan,49.34%,12.4
6,AlistarAlistar,50.78%,12.4
7,AmumuAmumu,62.26%,12.4
8,AmumuAmumu,33.33%,12.4
9,AniviaAnivia,57.69%,12.4
10,AnnieAnnie,56.52%,12.4
11,ApheliosAphelios,48.62%,12.4
12,AsheAshe,51.85%,12.4
13,Aurelion SolAurelion Sol,60.42%,12.4
14,AzirAzir,53.85%,12.4
15,BardBard,56.98%,12.4
16,BlitzcrankBlitzcrank,51.27%,12.4
17,BrandBrand,47.14%,12.4
18,BraumBraum,31.37%,12.4
19,CaitlynCaitlyn,47.04%,12.4
20,CamilleCamille,51.08%,12.4
21,CassiopeiaCassiopeia,57.69%,12.4
22,CassiopeiaCassiopeia,55.56%,12.4
23,CassiopeiaCassiopeia,57.14%,12.4
24,Cho'GathCho'Gath,52.73%,12.4
25,Cho'GathCho'Gath,21.74%,12.4
26,CorkiCorki,50.00%,12.4
27,DariusDarius,55.02%,12.4
28,DianaDiana,51.99%,12.4
29,Dr. MundoDr. Mundo,50.82%,12.4
30,DravenDraven,44.92%,12.4
31,EkkoEkko,56.36%,12.4
32,EkkoEkko,48.03%,12.4
33,EliseElise,55.26%,12.4
34,EvelynnEvelynn,47.90%,12.4
35,EzrealEzreal,48.23%,12.4
36,FiddlesticksFiddlesticks,48.28%,12.4
37,FioraFiora,53.41%,12.4
38,FizzFizz,39.62%,12.4
39,GalioGalio,50.47%,12.4
40,GalioGalio,53.85%,12.4
41,GangplankGangplank,52.17%,12.4
42,GarenGaren,46.43%,12.4
43,GnarGnar,51.66%,12.4
44,GragasGragas,56.69%,12.4
45,GragasGragas,51.43%,12.4
46,GravesGraves,49.67%,12.4
47,GravesGraves,52.39%,12.4
48,GwenGwen,52.96%,12.4
49,GwenGwen,53.82%,12.4
50,HecarimHecarim,55.31%,12.4
51,HeimerdingerHeimerdinger,0.00%,12.4
52,IllaoiIllaoi,60.00%,12.4
53,IreliaIrelia,54.11%,12.4
54,IreliaIrelia,51.96%,12.4
55,IvernIvern,51.09%,12.4
56,JannaJanna,56.36%,12.4
57,Jarvan IVJarvan IV,54.59%,12.4
58,JaxJax,59.06%,12.4
59,JayceJayce,48.95%,12.4
60,JhinJhin,52.39%,12.4
61,JinxJinx,53.87%,12.4
62,Kai'SaKai'Sa,46.33%,12.4
63,KalistaKalista,50.00%,12.4
64,KarmaKarma,52.77%,12.4
65,KarmaKarma,56.64%,12.4
66,KarmaKarma,53.66%,12.4
67,KarthusKarthus,51.61%,12.4
68,KarthusKarthus,53.97%,12.4
69,KarthusKarthus,47.73%,12.4
70,KassadinKassadin,57.14%,12.4
